id,description
21974,"It is private double room with private bathroom  in a shared apartment.  <br />Guests have access to new modern kitchen and dining area.<br /><br /><b>The space</b><br />Comfortable double room with private bathroom. <br />This nice room is located in Gothic quarter,few meters from Las Ramblas, Gaudi´s Palau Guell and the Liceu Opera, only 3 minutes away from the Cathedral and 10 min walk to Barceloneta beach.<br />Apartment is nicely furnished, fully equipped and unique with its location. Its been recently renovated and has completely new design bathrooms. It has air conditioning and central heating in the room. You are welcome any time to use fully equipped kitchen and dinning area to prepare your breakfast or any other meals. In the dinning are there is cable TV, big glass table and chairs. Towels, sheets and bed covers are included. The room has nice small balconies and double glazed windows to ensure peaceful sleeping. WiFi internet in the room.<br />There is also available baby c"
23197,"Beautiful apartment, large terrace, 5 minutes walk from the CCIB center, sea, Port Forum.<br />Excellent location to combine business with pleasure, ideal for families<br /> Relax on the large terrace for a quiet dinner or a nice glass of cold beer or wine away from the hustle and bustle of Barcelona and the tourist crowds.<br />Groups of young people under 25 are not accepted, the apartment is not suitable for you.<br /><br /><b>The space</b><br />The stylish spacious apartment is suitable for 6.<br />Spacious living/dining room with air conditioning, floor to ceiling sliding glass doors opening onto a large balcony with dining table and chairs and wicker sofa.<br />Master bedroom with bathroom en suite. ceiling fan,<br />The office bedroom has bunk beds, pedestal fan,<br />The third bedroom, two single beds. fan.<br />Guest bathroom: shower, sink, bidet, WC.<br />Fully equipped kitchen with access to the balcony; Fridge, freezer, halogen cooker, oven, microwave, Nespresso coffee mach"
32711,"A lovely two bedroom apartment only 250 m from Barcelona's iconic Sagrada Familia.<br /><br /><b>The space</b><br />Originally a typical Barcelona style three bedroom family apartment but when it was refurbished a wall was removed to combine the lounge and main bedroom into one large lounge dining area.<br /><br />NOTE: If you want to see all my properties and boats please have a look at: https://www.airbnb.com/s?host_id=135703 or click on my profile and choose the link at the bottom left of the screen.<br /><br />CAUTION: The whole apartment is covered by the Roomonitor noise alerting system, which will send an alert to an alarm center if high levels of noise are detected, between 10:00 pm and 8:00 am, which would disturb the neighbours. Each call from the alarm center to the guest about high noise levels will incur a €8.47 fee. If the alarm center have to send a staff member because of high noise there will be a €83.49 fee.<br /><br />CAUTION: This is a NON-SMOKING space, consequentl"
34241,"<b>The space</b><br />It is a Private double room with private bathroom near Plaza Real. This nice room with private bathroom is located in Gothic quarter,a few meters from Las Ramblas,the  Gaudi´s Palau Guell and the Liceu Opera,only 3 minutes away from the Cathedral and just 10 min walk to Barceloneta beach. Apartment is nicely furnished, fully equipped and unique with its location. Its been recently renovated and have compleatly new desigen bathrooms. It has air conditioning in the room, central heating, fully equipped kitchen, towels and bed cover on all rooms, elevator in the building, nice balconies, double glazed windows to ensure peaceful sleeping. The kitchen is fully equiped to prepare your own meals and breakfast. Free Wi-fi , no smoking.<br /><br /><b>License number</b><br />Exempt"
34981,"Spacious apartment for large families or groups of friends, modernly equipped. Four double bedrooms, one extra bed for groups up to Nine guests;  Three bathrooms with shower, WC and sink. Fully equipped kitchen with dishwasher.Comfort mattresses, acoustic isolation, powerful Air-Conditioning with separate units in each room,WiFi. Second floor with Elevator.<br />TOURIST LICENCE HUTB 00150671<br /><br /><b>The space</b><br />Large apartment in the center of Barcelona, next to Placa Real, on the Ramblas, into the heart of the Gothic Quarter; it has Four double bedrooms, Three bathrooms with shower, a living room with american kitchen; 115 m² big and up to 9 guests.<br />Air conditioning with a separate unit with remote control in each room, Heating system, Bed sheets, blankets and towels provided for each guest.<br />Internet Wi-Fi in the whole apartment.<br />Fully equipped kitchen with dishwasher, oven, stove, microwave, coffee machine, toaster and more.  <br />There is a balcony in th"
35318,"Luxury room with two beds, study table, dressing and balcony. This flat is very spacious and modern, right in the old part of Barcelona with all places to see/shop within walking distance.<br /><br /><b>The space</b><br />Welcome to the oldest part of the city. The  flat is spacious and cosy so you will feel home. All interesting spots/public transportation are within walking distance ;-) <br /><br />The guest room connects with a private bathroom including a tub with shower.<br /><br />You'll enjoy your  stay in a stylish apartment which has all possible comfort. Shared  kitchen is at disposal to cook or to have breakfast. <br /><br />Most guests like to have breakfast outside on one of the terraces or brunch places around, but there is always bread, milk, coffee around in the kitchen ;-) <br /><br />All amenities are close, like metro stations, grocery shops, original fashion stores, little hidden bars and restaurants...the beach at 15 min walking ...<br /><br />Of course towels and "
35379,"Room at a my apartment. Kitchen and 2 bathrooms to share. Free self service breakfast. Free wifi,  TV, towels, bed linen, Ceiling fan, desk and balcony to the back of the building. I also have at guests disposal vanity kits and hairdryers. Washing machine, iron and printer on request.<br /><br /><b>The space</b><br />My apartment is located in the Eixample quarter close to the commercial area and the centre of town. I provide private rooms: one single room and two double rooms with self-service breakfast. You can also use the kitchen to cook quick meals. I also provide free wifi connection. <br /><br />All rooms are equipped with a tv set, clean bed linen, fresh towels, heating and a ceiling fan. <br /><br />I am on to the blue line (L5) and the underground station is “Hospital Clínic”. Make sure you take the exit marked as “Sortida Villarroel/Clínic”. From there on, you only need to walk 1 minute to “Carrer Casanova”.<br /><br /><b>Other things to note</b><br />I speak Spanish, Catala"
35388,"Room at my apartment. Kitchen and 2 bathrooms to share. Free self service breakfast. Free wifi,  TV, towels, bed linen, ceiling fan and desk. I also have at guests disposal vanity kits and hairdryers. Washing machine, iron and printer on request.<br /><br /><b>The space</b><br />My apartment is located in the Eixample quarter close to the commercial area and the centre of town. I provide private rooms: one single room and two double rooms with self-service breakfast. You can also use the kitchen to cook your meals. We also provide free wifi connection. <br /><br />All rooms are equipped with a tv set, clean bed linen, fresh towels, heating and a ceiling fan. <br /><br />I am on to the blue line (L5) and our underground station is “Hospital Clínic”. Make sure you take the exit marked as “Sortida Villarroel/Clínic”. From there on, you only need to walk 1 minute to “Carrer Casanova”.<br /><br /><b>Other things to note</b><br />I speak Spanish, Catalan, English, French, Italian and a littl"
35390,"Room at my apartment. Kitchen and 2 bathrooms to share. Free self service breakfast. Free wifi,  TV, towels, bed linen, ceiling fan and desk. I also have at guests disposal vanity kits and hairdryers. Washing machine, iron and printer on request.<br /><br /><b>The space</b><br />My apartment is located in the Eixample quarter close to the commercial area and the centre of town. I provide private rooms: one single room and two double rooms with self-service breakfast. You can also use the kitchen to cook quick meals. I also provide free wifi connection. <br /><br />All rooms are equipped with a tv set, clean bed linen, fresh towels, heating and a ceiling fan. <br /><br />I am on to the blue line (L5) and the underground station is “Hospital Clínic”. Make sure you take the exit marked as “Sortida Villarroel/Clínic”. From there on, you only need to walk 1 minute to “Carrer Casanova”.<br /><br /><b>Other things to note</b><br />I speak Spanish, Catalan, English, French, Italian and a littl"
35392,"Room at my apartment. Kitchen and 2 bathrooms to share. Free self service breakfast. Free wifi,  TV, towels, bed linen, ceiling fan, desk and balcony to the back of the building. I also have at guests disposal vanity kits and hairdryers. Washing machine, iron and printer on request.<br /><br /><b>The space</b><br />My apartment is located in the Eixample quarter close to the commercial area and the centre of town. I provide private rooms: one single room and two double rooms with self-service breakfast. You can also use the kitchen to cook quick meals. I also provide free wifi connection. <br /><br />All rooms are equipped with a tv set, clean bed linen, fresh towels, heating and a ceiling fan. <br /><br />I am on to the blue line (L5) and the underground station is “Hospital Clínic”. Make sure you take the exit marked as “Sortida Villarroel/Clínic”. From there on, you only need to walk 1 minute to “Carrer Casanova”.<br /><br /><b>Other things to note</b><br />I speak Spanish, Catalan,"
