id,description
2352,"Cute 2 bedrooms appartment , large bathroom and huge living room with open kitchen and direct acess on the terasse  in the residential area. Easy acess to the downtown as well as to the ring in order to visit the rest of Belgium.<br />IMPORTANT: Taxe de séjour 5€/night(nuit) to be paid in cash at the arrival (Merci de prévoir5 €/nuit taxe régionale qui reste à payer directement à votre arrive en espèces<br /><br /><b>The space</b><br />ENGLISH VERSION:<br />The Triplex (total size 120 sqm) very luminous and quiet. Ideal for 1-4 people !The price mentioned at the announcement is for 4 people max., however appartment can accomodate 5 people,-additional single bed/matrass can be placed upon request .<br />It comprises two bedrooms (one with the dressing room), one large living room open to the dining room with the great terasse, view to the garden ( high ceilings), a large bathroom (bath and shower), toilet, and a big fully equiped kitchen with oven, microwave, refrigerator, coffee machin"
2354,"<b>The space</b><br />ENGLISH VERSION:  <br />Fully furnished (URL HIDDEN) stay of one full month offered at ""special"" price all included!  <br />Ideal for 1-3 people max. Close to Blvd Metewie,Rue du Korenbeek - public transport tram 82,83, bus 49, metro Bekant or Gare de Ouest/West Station).  <br />1bedroom, living room, big equipped kitchen( Owen, fridge/freezer, microwave, toaster, coffee machine), bathroom(shower and WC) and private terrace.  <br />(Gym, tennis courts, swimming pool, shops, groceries and public transport very near by, easy access to the centre downtown and to the ring/highway) <br /> <br />Apartment is fully furnished with all you need!!!!  <br />Price depends on the length of the stay  <br />SHORT and LONG STAY possibilities (all charges included apart of final cleaning after your departure and rental of towels and bedding. 50 € will be requested at your arrival against the reception the keys. Charges included :water, electricity, gas,common charges, Internet and"
45145,"The cosy B&B Welcome to my place is the perfect place to stay on a trip to Brussels as it is located very close to the Botanic Gardens and just 5 min on foot from the Belgian Comic Museum, Rue Neuve and 15 min too Grand Place.<br /><br /><b>The space</b><br />""Botanique"" metro station, bus stops, and trams are situated just nearby...<br /><br />Guests are made to feel right at home in this pleasant B&B and a private, cosy atmosphere is guaranteed as there are only two double rooms in the whole establishment. Baldaquin room have a private shower and sink and is equipped with a large double bed, as well as a TV DVD player and free Wi-Fi Internet access. Erick, the owner, has one cat and speaks English, French, Spanish and Flemish. He will do everything within his power to make you feel at home and enjoy a pleasant stay. Guests may use the left-luggage service too.<br /><br />A centrally located Bed and Breakfast where you can feel at home...<br /><br />Baldaquin room : <br />With white a"
48180,"Top Apart, perfect location 0 default, 2rooms spacious living room, central location, quite, terrace perfectly oriented, easy to clean, fully furnished<br /><br /><b>The space</b><br />125 square meter apart, perfect central location, lots of public transport less than a minute of walk, including underground and taxi station. <br />On Square Montgomery, the best spot in Brussels for moving around with public transport. <br />wonderful dark sleeping room, for quite sleep <br />terrace sunny all day <br />spacious living room <br />fully furnished <br />can house 3 people <br />Full view from living room on the bigget water fountain in Brussels and green space"
52796,"You will love this bright appartment in Ixelles. Your own apartment in a traditional house. In a very cool street. Very close to everything to visit Brussels (by foot, by subway, by tramway). The best way to know more ? Check our reviews  !<br /><br /><b>The space</b><br />The apartment is on the 2nd floor, fully refurbished, very bright, with one room overlooking the gardens, a bright living room, a fully equipped kitchen, one bathroom, one toilet and a hall.<br /><br />One double bed queen size in the main bedroom. For a 3rd guest, there is opportunity to sleep on a confortale convertible sofa (take a look to the pictures).<br /><br />New in our apartment since October 15': we offer NETFLIX to our guests !<br /><br /><b>Guest access</b><br />The kitchen is fully furnished with fridge, electric cooker, coffe machine Nespresso, microwave oven, hot water for tea, machine for fresh juices, toaster for bread, plates, cutlery, etc. In the fridge, I put always something for the welcome !<br"
80257,"A beautiful suite, tastefully renovated and comfortable with ""New York"" as theme. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.<br /><br /><b>The space</b><br />Details: 55m² - Security door - Parlophone / videophone - Open room - Bright and original color<br /><br />Kitchen: Equipped kitchen - Kitchen utensils - Crockery - Fridge / freezer - Microwave - Espresso machine - Toaster - Washing machine - dish washer<br /><br />Living room: TV stand - Armchair - Bed - Table - TV - Decoder (HD channel) - DVD - Private telephone - Internet Wifi - ...<br /><br />Bathroom:  Shower - Washbasin - Toilet - Towels<br /><br /><b>Guest access</b><br />The entire apartment is yours!<br /"
80320,"Newly renovated apartment, oriental decor and comfortable. Ideal for 1 to 3 people. The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.<br /><br /><b>The space</b><br />Details: 55m² - Security door - videophone - Open room - Balcony. <br /><br />Kitchen: Fully equipped kitchen - Kitchen utensils - Crockery - Fridge / freezer - Four microwaves - Espresso machine - Toaster - ...<br /><br />Living room: TV stand - Armchair - Bed - Table - TV - Decoder (HD channel) - DVD - Private telephone - Internet Wifi - ...<br /><br />Bathroom: Shower - Washbasin - Toilet - Towels<br /><br /><b>Guest access</b><br />The entire apartment is yours!<br /><br /><b>Other things to note</b><br />- Parking on demand: €20 per "
80373,"A beautiful suite, tastefully renovated and comfortable. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.<br /><br /><b>The space</b><br />Details: 55m² - Security door - Parlophone / videophone - Open room - Bright and original color<br /><br />Kitchen: Equipped kitchen - Kitchen utensils - Crockery - Fridge / freezer - Microwave - Espresso machine - Toaster - ...<br /><br />Living room: TV stand - Armchair - Bed - Table - TV - Decoder (HD channel) - DVD - Private telephone - Internet Wifi - ...<br /><br />Bathroom:  Shower - Washbasin - Toilet - Towels<br /><br /><b>Guest access</b><br />The entire apartment is yours!<br /><br /><b>Other things to note</b><br />- Parking o"
96293,"Decorated in shades of apple green, this spacious apartment is ideal for a family or group of friends from max 6p.<br /><br />The open room has a single bed, a double bed and a seating area with cable TV, a dining table, and an open kitchen. The separate bedroom contains a double bed and a single bed with TV, wardrobe and dressers. the apartment has two bathrooms, with bath, and the other with shower and toilet.<br /><br /><b>The space</b><br />Details: 75 m² - Security door - Parlophone / videophone - Open bedroom and separate bedroom - Bright and original color - Modern decoration.<br /><br />Kitchen: Fully equipped kitchen - Cooking utensils - Crockery - Fridge / freezer - Microwave - Espresso machine - Toaster - Washing machine - Dishwasher - ...<br /><br />Living room: TV stand - Armchair - Beds - Table - TV - Decoder (HD channel) - DVD - Private telephone - Internet Wifi - ...<br /><br />Bathroom: two bathrooms with shower and bathtub - Washbasin - Toilet - Towels<br /><br /><b>G"
96642,"A beautiful suite, tastefully renovated and comfortable. Ideal for 1-3 people.<br />The apartment is 200 meters from the « Midi station », and is close to all transport (tram, metro, bus, taxi, train, tgv, Eurostar, Thalys, ...) We are located near the center from Brussels (1km distance), where is the main square « Grande place », the sablon, the shopping street Rue Neuve, the Bourse, the Manneken-Pis, and many others.<br /><br /><b>The space</b><br />Details: 55m² - Security door - Parlophone / videophone - Open room - Bright and original color<br /><br />Kitchen: Equipped kitchen - Kitchen utensils - Crockery - Fridge / freezer - Microwave - Espresso machine - Toaster - ...<br /><br />Living room: TV stand - Armchair - Bed - Table - TV - Decoder (HD channel) - DVD - Private telephone - Internet Wifi - ...<br /><br />Bathroom:  Shower - Washbasin - Toilet - Towels<br /><br /><b>Guest access</b><br />The entire apartment is yours!<br /><br /><b>Other things to note</b><br />- Parking o"
